Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
05/28/19,28.29317204,29.99,3.4,1,Looe,C10,C,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,C7,C,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,C8,C,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,C9,C,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,D10,D,36.5,83,26,,,yes,0,2,95,3,100,0,yes,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,D7,D,36.5,83,26,,,yes,0,0,100,0,100,0,yes,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,D8,D,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,D9,D,36.5,83,26,,,yes,0,1,98,1,100,0,yes,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,A10,A,35.5,87,26,420,-669.98,yes,0,1,59,40,100,80,yes,no,no,0,yes
08/05/19,30.44647,31.48,1.92,2,Looe,A7,A,35.5,87,26,,,yes,0,0,90,10,100,60,no,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,A8,A,35.5,87,26,,,yes,0,0,99,1,100,0,no,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,A9,A,35.5,87,26,618.17,-907.14,no,0,20,0,80,100,100,yes,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,B10,B,35.5,87,26,740.05,-9.46,no,0,10,20,70,100,100,yes,no,no,0,yes
08/05/19,30.44647,31.48,1.92,2,Looe,B7,B,35.5,87,26,,,yes,0,0,98,2,100,30,no,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,B8,B,35.5,87,26,,,yes,0,0,100,0,100,10,no,no,no,0,yes
08/05/19,30.44647,31.48,1.92,2,Looe,B9,B,35.5,87,26,368.46,-394.91,yes,0,2,98,0,100,10,no,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,C10,C,35.5,87,26,434.73,-233,yes,0,2,93,5,100,10,no,no,no,0,no
08/05/19,30.44647,31.48,1.92,2,Looe,C7,C,35.5,87,26,,,yes,0,2,88,10,100,5,yes,no,no,0,no
